open;close;high;low;value;volume;begin;end
94.28;92.29;94.59;91.85;8447503248.6;90720380;2014-02-26 00:00:00;2014-02-26 23:59:59
92.5;90.12;92.61;89.4;11709164763.3;129290620;2014-02-27 00:00:00;2014-02-27 23:59:59
90.15;91.16;91.42;88.87;10176591958.5;112780920;2014-02-28 00:00:00;2014-02-28 23:59:59
85.5;77.57;86.84;74.96;33834631494.3;427913510;2014-03-03 00:00:00;2014-03-03 23:59:59
78.5;81.55;83.9;77.17;30132920508.4;371921710;2014-03-04 00:00:00;2014-03-04 23:59:59
82.37;81.46;82.77;80.12;14261760259.2;175284130;2014-03-05 00:00:00;2014-03-05 23:59:59
81.63;80.24;83.81;76.56;22663770504.0;281937510;2014-03-06 00:00:00;2014-03-06 23:59:59
80.0;79.99;81.46;78.34;15241918515.2;190384620;2014-03-07 00:00:00;2014-03-07 23:59:59
79.05;76.57;79.75;76.39;11720261740.1;150142970;2014-03-11 00:00:00;2014-03-11 23:59:59
75.98;72.46;76.36;72.35;17042032852.6;227452390;2014-03-12 00:00:00;2014-03-12 23:59:59
73.5;69.84;73.89;68.87;18291536404.2;256776110;2014-03-13 00:00:00;2014-03-13 23:59:59
68.0;71.75;71.75;65.33;23504637802.9;346714120;2014-03-14 00:00:00;2014-03-14 23:59:59
72.5;76.97;77.12;71.87;25538520916.4;344321660;2014-03-17 00:00:00;2014-03-17 23:59:59
77.6;81.43;82.0;75.64;23589639716.5;301075150;2014-03-18 00:00:00;2014-03-18 23:59:59
81.58;80.83;82.6;79.13;20862008429.9;257701520;2014-03-19 00:00:00;2014-03-19 23:59:59
79.55;79.5;81.27;78.43;15114543570.0;190046940;2014-03-20 00:00:00;2014-03-20 23:59:59
77.2;78.47;78.51;76.1;16078610494.1;207828970;2014-03-21 00:00:00;2014-03-21 23:59:59
78.47;78.29;80.38;77.82;13253767822.2;167819190;2014-03-24 00:00:00;2014-03-24 23:59:59
78.84;81.85;81.97;77.34;20451446930.3;255665910;2014-03-25 00:00:00;2014-03-25 23:59:59
82.1;82.56;84.34;82.02;19049556951.5;229652070;2014-03-26 00:00:00;2014-03-26 23:59:59
82.16;79.88;82.72;79.2;14948796189.1;185280640;2014-03-27 00:00:00;2014-03-27 23:59:59
80.4;81.47;81.96;79.67;12322262205.1;152251850;2014-03-28 00:00:00;2014-03-28 23:59:59
81.39;83.8;83.8;81.12;14692186419.2;178420740;2014-03-31 00:00:00;2014-03-31 23:59:59
84.01;83.88;84.68;82.75;12968274195.0;154874300;2014-04-01 00:00:00;2014-04-01 23:59:59
84.0;82.67;84.18;81.44;11804773404.0;143111440;2014-04-02 00:00:00;2014-04-02 23:59:59
82.88;81.51;83.39;81.21;10532322499.7;127794990;2014-04-03 00:00:00;2014-04-03 23:59:59
81.95;82.98;83.3;80.85;12067295488.7;147144280;2014-04-04 00:00:00;2014-04-04 23:59:59
81.88;79.95;81.88;78.87;18991884791.3;236725410;2014-04-07 00:00:00;2014-04-07 23:59:59
79.9;79.41;80.0;78.51;12949536875.1;163499350;2014-04-08 00:00:00;2014-04-08 23:59:59
79.8;78.85;80.1;77.75;12673403126.6;161363630;2014-04-09 00:00:00;2014-04-09 23:59:59
79.22;79.9;80.44;78.51;14170548657.5;178317550;2014-04-10 00:00:00;2014-04-10 23:59:59
78.71;79.75;80.07;77.65;12236550210.6;154422060;2014-04-11 00:00:00;2014-04-11 23:59:59
79.11;78.35;79.11;77.5;14910754294.4;190735310;2014-04-14 00:00:00;2014-04-14 23:59:59
78.0;75.2;78.34;75.1;14614490983.2;190723350;2014-04-15 00:00:00;2014-04-15 23:59:59
75.95;76.13;76.5;73.62;20398523953.8;271726740;2014-04-16 00:00:00;2014-04-16 23:59:59
76.0;76.89;77.21;75.2;15344443361.7;201674510;2014-04-17 00:00:00;2014-04-17 23:59:59
78.39;78.82;79.4;78.22;9018787421.5;114463050;2014-04-18 00:00:00;2014-04-18 23:59:59
78.8;77.62;78.8;77.46;6524700324.0;83590290;2014-04-21 00:00:00;2014-04-21 23:59:59
77.5;76.3;77.5;75.6;10366817228.3;135293150;2014-04-22 00:00:00;2014-04-22 23:59:59
76.2;75.56;76.51;75.12;10096596348.4;133283600;2014-04-23 00:00:00;2014-04-23 23:59:59
75.85;73.21;76.11;71.81;18512448292.7;251265730;2014-04-24 00:00:00;2014-04-24 23:59:59
73.05;69.91;73.1;69.56;21073635940.9;297122510;2014-04-25 00:00:00;2014-04-25 23:59:59
69.0;73.39;73.7;67.9;26919766522.5;382641850;2014-04-28 00:00:00;2014-04-28 23:59:59
74.19;72.8;74.66;72.3;13562850951.4;184166290;2014-04-29 00:00:00;2014-04-29 23:59:59
72.51;72.5;73.1;71.48;7884706883.0;109106810;2014-04-30 00:00:00;2014-04-30 23:59:59
72.0;72.22;72.5;70.89;4614899568.3;64294280;2014-05-02 00:00:00;2014-05-02 23:59:59
71.35;71.99;72.44;71.01;4819865433.2;67164800;2014-05-05 00:00:00;2014-05-05 23:59:59
72.32;74.1;74.3;72.32;9525359949.2;129555640;2014-05-06 00:00:00;2014-05-06 23:59:59
73.23;78.5;80.37;73.16;20847433784.2;271218480;2014-05-07 00:00:00;2014-05-07 23:59:59
79.0;78.8;80.25;77.57;19652189431.2;248696590;2014-05-08 00:00:00;2014-05-08 23:59:59
78.79;79.08;79.9;77.73;12971345421.0;164644990;2014-05-12 00:00:00;2014-05-12 23:59:59
79.76;80.15;81.08;79.15;14982774153.6;186766010;2014-05-13 00:00:00;2014-05-13 23:59:59
80.25;81.38;81.68;79.55;10950369363.2;136298440;2014-05-14 00:00:00;2014-05-14 23:59:59
81.1;80.04;82.3;79.75;13958326176.9;171237780;2014-05-15 00:00:00;2014-05-15 23:59:59
79.4;79.2;79.79;78.53;11712181282.7;148101150;2014-05-16 00:00:00;2014-05-16 23:59:59
79.3;81.62;81.68;79.17;11387666217.8;141103030;2014-05-19 00:00:00;2014-05-19 23:59:59
82.05;82.31;82.55;80.55;12704722224.7;155680150;2014-05-20 00:00:00;2014-05-20 23:59:59
82.0;83.59;84.09;81.3;15827223384.5;191332530;2014-05-21 00:00:00;2014-05-21 23:59:59
84.01;83.26;84.3;82.16;10987132137.3;132031140;2014-05-22 00:00:00;2014-05-22 23:59:59
83.2;85.83;85.98;82.63;14373948595.5;170529760;2014-05-23 00:00:00;2014-05-23 23:59:59
86.0;86.87;87.62;85.37;9861521266.2;113548190;2014-05-26 00:00:00;2014-05-26 23:59:59
86.9;84.33;86.9;83.95;12750027950.6;149979600;2014-05-27 00:00:00;2014-05-27 23:59:59
84.5;84.95;85.38;83.73;9936248035.4;117406900;2014-05-28 00:00:00;2014-05-28 23:59:59
85.3;85.65;86.01;84.18;11385853542.6;133574640;2014-05-29 00:00:00;2014-05-29 23:59:59
85.65;84.5;85.9;84.21;9193858538.7;108275150;2014-05-30 00:00:00;2014-05-30 23:59:59
84.76;85.91;87.15;84.76;11679296280.8;135553000;2014-06-02 00:00:00;2014-06-02 23:59:59
85.3;86.84;86.84;84.66;10259671670.7;119911060;2014-06-03 00:00:00;2014-06-03 23:59:59
86.41;87.81;88.47;86.23;10361328204.3;118827760;2014-06-04 00:00:00;2014-06-04 23:59:59
87.95;87.43;89.05;86.86;12025304480.7;136671320;2014-06-05 00:00:00;2014-06-05 23:59:59
87.75;89.0;89.18;86.28;11211383095.1;127899230;2014-06-06 00:00:00;2014-06-06 23:59:59
89.3;88.89;89.6;88.62;7560962732.0;84842190;2014-06-09 00:00:00;2014-06-09 23:59:59
88.88;88.99;89.0;87.87;7596389042.6;85853250;2014-06-10 00:00:00;2014-06-10 23:59:59
89.0;89.0;89.33;88.51;6041154867.6;67980020;2014-06-11 00:00:00;2014-06-11 23:59:59
84.5;84.85;85.72;84.15;11088013550.9;130296750;2014-06-16 00:00:00;2014-06-16 23:59:59
84.95;83.8;85.55;83.37;7330000018.9;86913970;2014-06-17 00:00:00;2014-06-17 23:59:59
84.11;83.77;84.55;83.12;9671046875.6;115310330;2014-06-18 00:00:00;2014-06-18 23:59:59
84.55;84.8;85.69;84.35;9528743715.0;112078350;2014-06-19 00:00:00;2014-06-19 23:59:59
84.8;84.16;85.14;84.1;7073051535.6;83715090;2014-06-20 00:00:00;2014-06-20 23:59:59
84.23;83.68;85.3;83.41;8347843813.1;99040960;2014-06-23 00:00:00;2014-06-23 23:59:59
84.09;86.5;86.6;83.91;12819683767.4;150531880;2014-06-24 00:00:00;2014-06-24 23:59:59
86.02;84.4;86.4;83.85;9811010217.8;114961050;2014-06-25 00:00:00;2014-06-25 23:59:59
84.9;84.1;85.14;83.46;8383743521.2;99471360;2014-06-26 00:00:00;2014-06-26 23:59:59
84.15;84.33;84.94;83.96;4828661473.2;57140600;2014-06-27 00:00:00;2014-06-27 23:59:59
84.5;84.5;84.7;83.03;6822354609.1;81496490;2014-06-30 00:00:00;2014-06-30 23:59:59
84.45;84.07;84.46;83.05;6700970195.0;80028320;2014-07-01 00:00:00;2014-07-01 23:59:59
84.3;85.79;85.97;84.12;8016712732.6;94197580;2014-07-02 00:00:00;2014-07-02 23:59:59
85.9;85.34;86.5;85.25;6559336708.5;76353880;2014-07-03 00:00:00;2014-07-03 23:59:59
85.51;84.0;85.86;83.8;5890073881.0;69404770;2014-07-04 00:00:00;2014-07-04 23:59:59
84.08;85.49;85.7;83.87;6025535758.0;71042760;2014-07-07 00:00:00;2014-07-07 23:59:59
85.3;85.11;86.69;84.67;8532268044.6;99525260;2014-07-08 00:00:00;2014-07-08 23:59:59
84.91;85.2;85.56;84.2;6861142523.7;80831840;2014-07-09 00:00:00;2014-07-09 23:59:59
85.74;84.47;86.09;83.37;9686873454.4;114382280;2014-07-10 00:00:00;2014-07-10 23:59:59
84.5;84.55;84.88;83.8;6602300169.9;78260360;2014-07-11 00:00:00;2014-07-11 23:59:59
84.65;83.55;85.19;83.55;5856987360.7;69434020;2014-07-14 00:00:00;2014-07-14 23:59:59
83.82;83.09;84.01;82.87;6601547994.8;79123700;2014-07-15 00:00:00;2014-07-15 23:59:59
83.0;83.78;83.98;82.55;7160064071.3;86004300;2014-07-16 00:00:00;2014-07-16 23:59:59
82.0;81.5;82.19;80.53;12027761202.8;147892860;2014-07-17 00:00:00;2014-07-17 23:59:59
79.8;80.27;80.96;79.59;11816975027.0;147407130;2014-07-18 00:00:00;2014-07-18 23:59:59
80.31;76.56;80.4;76.56;14297774488.2;182779550;2014-07-21 00:00:00;2014-07-21 23:59:59
77.3;78.3;78.84;77.06;12028123266.1;154403850;2014-07-22 00:00:00;2014-07-22 23:59:59
78.4;77.45;78.94;76.6;7277557742.1;93643340;2014-07-23 00:00:00;2014-07-23 23:59:59
77.0;76.87;77.37;75.81;7809701201.2;101869250;2014-07-24 00:00:00;2014-07-24 23:59:59
76.81;75.16;76.98;75.0;8283568523.8;109515350;2014-07-25 00:00:00;2014-07-25 23:59:59
74.51;72.82;74.6;72.6;8557052061.2;116467930;2014-07-28 00:00:00;2014-07-28 23:59:59
72.45;73.2;74.5;71.86;14153119044.7;193639220;2014-07-29 00:00:00;2014-07-29 23:59:59
72.65;73.68;75.83;72.33;14523547897.5;194588780;2014-07-30 00:00:00;2014-07-30 23:59:59
73.9;73.6;75.27;73.24;8188974758.4;110573680;2014-07-31 00:00:00;2014-07-31 23:59:59
72.88;72.37;73.5;71.52;13276911148.5;183538940;2014-08-01 00:00:00;2014-08-01 23:59:59
72.8;72.75;73.59;71.85;7492810618.6;102965070;2014-08-04 00:00:00;2014-08-04 23:59:59
73.0;71.6;73.3;71.57;7475834047.6;103702890;2014-08-05 00:00:00;2014-08-05 23:59:59
71.22;69.0;71.3;68.85;17648189319.1;252771000;2014-08-06 00:00:00;2014-08-06 23:59:59
68.42;68.5;69.3;66.1;17451511001.3;257510130;2014-08-07 00:00:00;2014-08-07 23:59:59
67.91;70.7;70.75;67.91;11312689552.6;162405320;2014-08-08 00:00:00;2014-08-08 23:59:59
72.01;74.3;74.4;72.01;12286598125.900003;167202310;2014-08-11 00:00:00;2014-08-11 20:30:02
74.1;73.4;75.18;72.88;12415710937.200005;167777990;2014-08-12 00:00:00;2014-08-12 20:30:02
73.1;74.79;75.19;72.6;10080428212.400003;135367750;2014-08-13 00:00:00;2014-08-13 20:29:41
74.94;75.17;75.87;74.3;10937867858.2;145786830;2014-08-14 00:00:00;2014-08-14 20:29:56
75.01;75.37;76.0;74.0;9304921653.300003;124200500;2014-08-15 00:00:00;2014-08-15 20:29:46
75.18;75.09;75.98;74.77;6532890607.0;86739720;2014-08-18 00:00:00;2014-08-18 20:29:46
75.6;75.95;76.1;75.11;7354923587.900002;97121820;2014-08-19 00:00:00;2014-08-19 20:29:47
75.99;76.7;76.89;75.18;8990135371.499994;118357360;2014-08-20 00:00:00;2014-08-20 20:29:42
76.85;78.14;78.61;76.71;8924546858.500004;114728810;2014-08-21 00:00:00;2014-08-21 20:29:56
78.49;78.45;78.89;76.88;10851871560.099993;139567560;2014-08-22 00:00:00;2014-08-22 20:29:56
78.53;78.46;79.69;78.25;9294391218.600002;117677970;2014-08-25 00:00:00;2014-08-25 20:29:51
78.6;77.62;78.92;77.24;6155633613.499997;78921420;2014-08-26 00:00:00;2014-08-26 20:29:51
77.89;77.93;78.39;77.51;6358565106.8;81493260;2014-08-27 00:00:00;2014-08-27 23:59:59
77.46;74.59;77.87;74.45;17577035274.0;231820440;2014-08-28 00:00:00;2014-08-28 23:59:59
74.49;73.21;74.97;72.56;14242612092.1;193460210;2014-08-29 00:00:00;2014-08-29 23:59:59
73.51;73.68;74.94;72.52;12118090739.3;164429290;2014-09-01 00:00:00;2014-09-01 23:59:59
73.67;73.76;74.49;72.94;7701340899.6;104627840;2014-09-02 00:00:00;2014-09-02 23:59:59
74.19;78.5;78.75;73.75;21333848810.2;277102210;2014-09-03 00:00:00;2014-09-03 23:59:59
78.6;79.39;79.95;77.18;12434841180.8;158504110;2014-09-04 00:00:00;2014-09-04 23:59:59
78.8;80.25;81.3;78.5;12760679862.3;159432130;2014-09-05 00:00:00;2014-09-05 23:59:59
80.25;78.69;80.39;78.26;8586491913.2;108470700;2014-09-08 00:00:00;2014-09-08 23:59:59
78.85;79.41;80.2;78.69;8416207166.7;105818380;2014-09-09 00:00:00;2014-09-09 23:59:59
78.8;78.67;79.4;78.39;6806564900.8;86323660;2014-09-10 00:00:00;2014-09-10 23:59:59
79.05;76.3;79.55;76.14;11862400181.6;153119340;2014-09-11 00:00:00;2014-09-11 23:59:59
76.0;76.65;77.77;75.13;11142306440.4;145526680;2014-09-12 00:00:00;2014-09-12 23:59:59
76.3;75.63;77.08;75.45;9667420501.4;127147020;2014-09-15 00:00:00;2014-09-15 23:59:59
75.85;77.6;77.9;75.63;10911100950.9;141626080;2014-09-16 00:00:00;2014-09-16 23:59:59
77.5;78.66;78.92;76.55;11680433036.9;150425900;2014-09-17 00:00:00;2014-09-17 23:59:59
78.62;77.98;79.3;77.71;8031614350.0;102250150;2014-09-18 00:00:00;2014-09-18 23:59:59
78.3;77.4;78.46;76.62;9528065775.8;122982290;2014-09-19 00:00:00;2014-09-19 23:59:59
77.2;76.0;77.69;75.89;6471712224.7;84589910;2014-09-22 00:00:00;2014-09-22 23:59:59
76.32;77.68;77.84;76.2;7511750614.8;97635080;2014-09-23 00:00:00;2014-09-23 23:59:59
77.93;79.05;79.55;77.87;9743665248.4;123499180;2014-09-24 00:00:00;2014-09-24 23:59:59
79.6;78.01;80.15;78.0;9593588851.2;121092190;2014-09-25 00:00:00;2014-09-25 23:59:59
77.56;77.6;78.43;76.85;8662360631.6;111612420;2014-09-26 00:00:00;2014-09-26 23:59:59
77.98;76.7;78.38;76.53;7794311609.8;100645000;2014-09-29 00:00:00;2014-09-29 23:59:59
77.08;75.52;77.44;75.52;11065325634.6;144552360;2014-09-30 00:00:00;2014-09-30 23:59:59
75.2;74.26;76.26;74.26;9813229524.8;130262550;2014-10-01 00:00:00;2014-10-01 23:59:59
74.05;73.15;74.47;72.57;10657701141.0;145206610;2014-10-02 00:00:00;2014-10-02 23:59:59
73.73;73.77;74.69;73.12;8251476086.9;111663690;2014-10-03 00:00:00;2014-10-03 23:59:59
74.36;76.33;76.6;74.25;9485664906.9;125594530;2014-10-06 00:00:00;2014-10-06 23:59:59
76.33;75.32;76.54;74.96;7353823645.6;97153580;2014-10-07 00:00:00;2014-10-07 23:59:59
74.85;73.8;75.25;73.76;9823200108.0;132003430;2014-10-08 00:00:00;2014-10-08 23:59:59
75.05;73.65;75.7;73.52;10790147160.4;144528280;2014-10-09 00:00:00;2014-10-09 23:59:59
72.64;73.5;73.77;72.06;10334279936.8;141617220;2014-10-10 00:00:00;2014-10-10 23:59:59
72.8;74.26;75.24;72.65;8700342715.7;116922770;2014-10-13 00:00:00;2014-10-13 23:59:59
74.15;74.55;75.36;73.86;7128513782.7;95473820;2014-10-14 00:00:00;2014-10-14 23:59:59
74.31;73.08;74.86;72.81;8865781517.8;120577500;2014-10-15 00:00:00;2014-10-15 23:59:59
73.2;71.12;74.05;70.95;14162680267.6;195738120;2014-10-16 00:00:00;2014-10-16 23:59:59
71.8;73.15;73.3;71.38;10590495491.3;146039730;2014-10-17 00:00:00;2014-10-17 23:59:59
73.4;72.25;73.93;71.75;8881557582.1;122048450;2014-10-20 00:00:00;2014-10-20 23:59:59
72.0;72.5;73.16;71.3;8448389158.6;116676840;2014-10-21 00:00:00;2014-10-21 23:59:59
73.0;71.82;73.37;71.8;7122868294.3;98536180;2014-10-22 00:00:00;2014-10-22 23:59:59
71.47;71.59;72.1;70.85;9462546234.6;132619500;2014-10-23 00:00:00;2014-10-23 23:59:59
71.35;72.49;72.49;70.93;5450085857.4;76065860;2014-10-24 00:00:00;2014-10-24 23:59:59
73.2;72.9;73.78;72.25;8754745253.3;119696300;2014-10-27 00:00:00;2014-10-27 23:59:59
73.18;73.9;74.2;72.73;7463421519.8;101388880;2014-10-28 00:00:00;2014-10-28 23:59:59
74.1;74.05;74.8;73.68;7438238512.1;100125200;2014-10-29 00:00:00;2014-10-29 23:59:59
73.7;74.98;75.13;73.43;13453034887.8;180995180;2014-10-30 00:00:00;2014-10-30 23:59:59
75.45;76.23;76.84;75.23;11759995500.7;154675720;2014-10-31 00:00:00;2014-10-31 23:59:59
76.07;76.29;76.66;75.61;3803202502.7;49892210;2014-11-03 00:00:00;2014-11-03 23:59:59
75.8;75.65;75.94;75.02;7625975611.1;101085650;2014-11-05 00:00:00;2014-11-05 23:59:59
75.76;75.05;76.88;74.75;8343805220.4;109722350;2014-11-06 00:00:00;2014-11-06 23:59:59
75.16;75.69;77.65;74.41;14790665046.6;195083240;2014-11-07 00:00:00;2014-11-07 23:59:59
76.36;77.78;77.78;76.12;9681955158.5;125636500;2014-11-10 00:00:00;2014-11-10 23:59:59
77.85;77.34;78.7;77.01;10202557176.4;130820430;2014-11-11 00:00:00;2014-11-11 23:59:59
77.35;76.32;77.55;76.13;8738507254.5;113847180;2014-11-12 00:00:00;2014-11-12 23:59:59
76.31;74.03;76.5;73.73;11286173621.4;150544890;2014-11-13 00:00:00;2014-11-13 23:59:59
73.8;74.15;74.5;73.1;7512929431.5;101827010;2014-11-14 00:00:00;2014-11-14 23:59:59
73.61;73.97;74.45;73.47;5763830832.1;77982280;2014-11-17 00:00:00;2014-11-17 23:59:59
74.42;75.21;75.35;73.45;9033452366.9;121080470;2014-11-18 00:00:00;2014-11-18 23:59:59
75.29;73.9;75.54;73.87;6660852593.4;89158940;2014-11-19 00:00:00;2014-11-19 23:59:59
73.9;73.63;74.9;72.93;7700368683.1;104580980;2014-11-20 00:00:00;2014-11-20 23:59:59
73.99;74.39;74.71;72.95;7816148671.7;105852740;2014-11-21 00:00:00;2014-11-21 23:59:59
74.88;74.4;75.4;74.01;6389705275.5;85541840;2014-11-24 00:00:00;2014-11-24 23:59:59
74.48;74.11;74.66;73.76;4433101334.2;59713060;2014-11-25 00:00:00;2014-11-25 23:59:59
73.77;73.85;74.13;73.26;6760449142.3;91757390;2014-11-26 00:00:00;2014-11-26 23:59:59
73.7;73.04;74.2;73.04;6463472882.3;87730700;2014-11-27 00:00:00;2014-11-27 23:59:59
72.89;72.25;72.89;71.42;9244941546.6;128193600;2014-11-28 00:00:00;2014-11-28 23:59:59
71.9;73.79;74.2;71.51;10201451741.1;139383260;2014-12-01 00:00:00;2014-12-01 23:59:59
74.06;71.64;74.47;71.31;9747764666.6;133472040;2014-12-02 00:00:00;2014-12-02 23:59:59
71.89;72.0;72.35;71.42;8322053520.0;115782340;2014-12-03 00:00:00;2014-12-03 23:59:59
72.25;71.04;74.03;71.0;11776978748.0;162018990;2014-12-04 00:00:00;2014-12-04 23:59:59
70.92;68.6;71.73;68.4;11210906896.8;160171610;2014-12-05 00:00:00;2014-12-05 23:59:59
69.17;65.3;69.67;65.23;11218032583.7;167156200;2014-12-08 00:00:00;2014-12-08 23:59:59
64.77;66.26;66.9;62.61;12883264678.1;198020150;2014-12-09 00:00:00;2014-12-09 23:59:59
66.62;67.77;68.7;65.78;12140409043.8;180002300;2014-12-10 00:00:00;2014-12-10 23:59:59
67.85;65.95;68.4;65.25;12134740057.5;182009630;2014-12-11 00:00:00;2014-12-11 23:59:59
65.4;64.2;66.2;63.07;10234051733.4;157344230;2014-12-12 00:00:00;2014-12-12 23:59:59
64.0;60.13;65.74;59.92;14113009196.4;224047750;2014-12-15 00:00:00;2014-12-15 23:59:59
59.5;53.5;61.95;47.21;25448070650.6;470750510;2014-12-16 00:00:00;2014-12-16 23:59:59
54.03;59.9;60.88;52.38;24945637858.8;446526580;2014-12-17 00:00:00;2014-12-17 23:59:59
61.5;62.91;65.8;60.25;20215423040.7;317744140;2014-12-18 00:00:00;2014-12-18 23:59:59
61.26;61.44;63.08;59.5;10480844257.1;171795280;2014-12-19 00:00:00;2014-12-19 23:59:59
63.27;58.6;64.2;57.82;13954392663.2;228645560;2014-12-22 00:00:00;2014-12-22 23:59:59
59.05;54.0;59.53;52.86;13019787626.3;230869270;2014-12-23 00:00:00;2014-12-23 23:59:59
53.58;55.0;55.45;51.51;9006096055.4;166419660;2014-12-24 00:00:00;2014-12-24 23:59:59
54.98;58.7;58.85;54.71;6598735994.3;116646610;2014-12-25 00:00:00;2014-12-25 23:59:59
59.0;57.13;60.0;56.05;7806991890.2;134648850;2014-12-26 00:00:00;2014-12-26 23:59:59
57.01;54.51;58.29;53.7;6329889661.8;113669200;2014-12-29 00:00:00;2014-12-29 23:59:59
53.04;54.9;55.65;51.6;6492408490.0;120437150;2014-12-30 00:00:00;2014-12-30 23:59:59
54.02;56.37;56.77;53.58;3528066684.6;63231040;2015-01-05 00:00:00;2015-01-05 23:59:59
56.0;58.28;58.45;55.83;4039309039.0;70269700;2015-01-06 00:00:00;2015-01-06 23:59:59
59.0;65.7;67.77;58.61;11928949418.6;187598890;2015-01-08 00:00:00;2015-01-08 23:59:59
65.7;63.1;66.88;62.25;6875919602.0;107559890;2015-01-09 00:00:00;2015-01-09 23:59:59
62.2;62.9;63.84;61.66;6252325925.8;99435900;2015-01-12 00:00:00;2015-01-12 23:59:59
62.31;60.31;62.98;59.25;11605737117.7;190655450;2015-01-13 00:00:00;2015-01-13 23:59:59
59.6;60.05;61.2;59.6;8109389484.4;134066670;2015-01-14 00:00:00;2015-01-14 23:59:59
61.19;61.8;62.68;60.71;11116803588.2;180005110;2015-01-15 00:00:00;2015-01-15 23:59:59
61.8;61.99;62.43;60.41;8789135013.7;143117080;2015-01-16 00:00:00;2015-01-16 23:59:59
61.59;61.8;63.67;61.55;7849098982.7;124918310;2015-01-19 00:00:00;2015-01-19 23:59:59
61.82;60.8;62.25;60.27;7359944280.0;120109490;2015-01-20 00:00:00;2015-01-20 23:59:59
61.08;62.8;63.2;60.95;6607688949.9;106804150;2015-01-21 00:00:00;2015-01-21 23:59:59
63.06;64.35;64.88;62.42;11052416507.5;173344710;2015-01-22 00:00:00;2015-01-22 23:59:59
