window_start;window_end;signal_day;current_symbol;predicted_symbol;signal;chosen_rule;rule_support;rule_confidence;rule_lift;open;close;ret_oc;strategy_ret;equity_curve
2021-02-20;2023-02-21;2023-02-22;d;d;HOLD;d->d;0.2868525896414343;0.8888888888888888;2.720867208672087;164.13;163.37;-0.004630475842320057;0.0;0.982562267674944
2021-02-22;2023-02-22;2023-02-24;d;d;HOLD;d->d;0.2868525896414343;0.8888888888888888;2.720867208672087;163.33;164.3;0.005938896712177792;0.0;0.982562267674944
2021-02-24;2023-02-24;2023-02-27;c;c;HOLD;c->c;0.22310756972111553;0.8235294117647058;2.995737425404945;163.52;169.95;0.03932240704500965;0.0;0.982562267674944
2021-02-25;2023-02-27;2023-02-28;c;c;HOLD;c->c;0.22709163346613545;0.8260869565217391;2.9621118012422363;170.5;169.82;-0.0039882697947214475;0.0;0.982562267674944
2021-02-26;2023-02-28;2023-03-01;c;c;HOLD;c->c;0.23904382470119523;0.8333333333333334;2.865296803652968;170.4;170.53;0.000762910798122039;0.0;0.982562267674944
2021-03-01;2023-03-01;2023-03-02;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.7587387387387388;170.4;168.05;-0.01379107981220654;0.0;0.982562267674944
2021-03-02;2023-03-02;2023-03-03;c;c;HOLD;c->c;0.24701195219123506;0.8266666666666667;2.7665777777777776;168.17;171.16;0.017779627757626267;0.0;0.982562267674944
2021-03-03;2023-03-03;2023-03-06;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;172.14;171.84;-0.0017427675148134248;0.0;0.982562267674944
2021-03-04;2023-03-06;2023-03-07;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;171.87;174.01;0.012451271309710748;0.0;0.982562267674944
2021-03-05;2023-03-07;2023-03-09;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;174.85;172.55;-0.013154132113239823;0.0;0.982562267674944
2021-03-09;2023-03-09;2023-03-10;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;171.55;172.53;0.005712620227338908;0.0;0.982562267674944
2021-03-10;2023-03-10;2023-03-13;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;172.5;172.15;-0.002028985507246344;0.0;0.982562267674944
2021-03-11;2023-03-13;2023-03-14;c;c;HOLD;c->c;0.24302788844621515;0.8243243243243243;2.796018991964938;171.61;175.71;0.023891381621117615;0.0;0.982562267674944
2021-03-12;2023-03-14;2023-03-15;b;b;HOLD;b->b;0.14741035856573706;0.8222222222222222;4.48647342995169;176.0;175.3;-0.003977272727272663;0.0;0.982562267674944
2021-03-15;2023-03-15;2023-03-16;b;b;HOLD;b->b;0.14741035856573706;0.8222222222222222;4.48647342995169;174.94;175.45;0.0029152852406538867;0.0;0.982562267674944
2021-03-16;2023-03-16;2023-03-17;b;b;HOLD;b->b;0.15139442231075698;0.8260869565217391;4.411655874190565;183.0;193.59;0.057868852459016414;0.0;0.982562267674944
2021-03-17;2023-03-17;2023-03-20;b;b;HOLD;b->b;0.1553784860557769;0.8297872340425532;4.339095744680851;196.02;203.73;0.03933272115090286;0.0;0.982562267674944
2021-03-18;2023-03-20;2023-03-21;b;b;HOLD;b->b;0.1593625498007968;0.851063829787234;4.450354609929078;204.76;203.32;-0.007032623559288913;0.0;0.982562267674944
2021-03-19;2023-03-21;2023-03-22;c;c;HOLD;c->c;0.23107569721115537;0.8405797101449275;3.0140786749482404;203.4;202.89;-0.0025073746312685315;0.0;0.982562267674944
2021-03-22;2023-03-22;2023-03-23;c;c;HOLD;c->c;0.2350597609561753;0.8428571428571429;2.979678068410463;202.53;202.58;0.0002468770058757289;0.0;0.982562267674944
2021-03-23;2023-03-23;2023-03-24;c;c;HOLD;c->c;0.24302788844621515;0.8472222222222222;2.913051750380517;202.86;203.57;0.003499950704919548;0.0;0.982562267674944
2021-03-24;2023-03-24;2023-03-27;c;c;HOLD;c->c;0.24701195219123506;0.8493150684931506;2.8807848944835244;204.01;211.84;0.03838047154551254;0.0;0.982562267674944
2021-03-25;2023-03-27;2023-03-28;c;c;HOLD;c->c;0.250996015936255;0.8513513513513513;2.849189189189189;212.86;214.03;0.005496570515831943;0.0;0.982562267674944
2021-03-26;2023-03-28;2023-03-29;d;d;HOLD;d->d;0.26294820717131473;0.868421052631579;2.868074792243767;214.85;217.99;0.014614847568070816;0.0;0.982562267674944
2021-03-29;2023-03-29;2023-03-30;d;d;HOLD;d->d;0.26294820717131473;0.868421052631579;2.868074792243767;217.3;216.87;-0.0019788311090658387;0.0;0.982562267674944
2021-03-30;2023-03-30;2023-03-31;d;d;HOLD;d->d;0.26294820717131473;0.868421052631579;2.868074792243767;217.2;216.6;-0.002762430939226493;0.0;0.982562267674944
2021-03-31;2023-03-31;2023-04-03;d;d;HOLD;d->d;0.2589641434262948;0.8666666666666667;2.900444444444444;218.45;216.09;-0.010803387502860999;0.0;0.982562267674944
2021-04-01;2023-04-03;2023-04-04;d;d;HOLD;d->d;0.2549800796812749;0.8648648648648649;2.933528122717312;216.2;214.83;-0.006336725254393969;0.0;0.982562267674944
2021-04-02;2023-04-04;2023-04-05;d;d;HOLD;d->d;0.250996015936255;0.863013698630137;2.9673484706323885;214.65;216.15;0.0069881201956673656;0.0;0.982562267674944
2021-04-05;2023-04-05;2023-04-06;d;d;HOLD;d->d;0.250996015936255;0.863013698630137;2.9673484706323885;216.3;214.25;-0.00947757743874254;0.0;0.982562267674944
2021-04-06;2023-04-06;2023-04-07;d;d;HOLD;d->d;0.250996015936255;0.863013698630137;2.9673484706323885;214.5;216.27;0.008251748251748299;0.0;0.982562267674944
2021-04-07;2023-04-07;2023-04-10;d;d;HOLD;d->d;0.2549800796812749;0.8767123287671232;2.9737134394668634;217.1;222.21;0.023537540304007433;0.0;0.982562267674944
