"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","1,705.00","1,685.50","1,718.50","1,673.00","5.85M","1.91%"
"04/30/2024","1,673.00","1,643.00","1,679.50","1,643.00","7.01M","0.18%"
"04/29/2024","1,670.00","1,650.00","1,677.00","1,646.00","5.91M","1.03%"
"04/26/2024","1,653.00","1,638.50","1,655.50","1,627.50","3.99M","0.76%"
"04/25/2024","1,640.50","1,626.00","1,656.50","1,626.00","5.92M","0.28%"
"04/24/2024","1,636.00","1,668.00","1,668.00","1,635.50","4.33M","-0.91%"
"04/23/2024","1,651.00","1,650.50","1,656.00","1,636.00","4.66M","0.70%"
"04/22/2024","1,639.50","1,618.00","1,647.50","1,610.50","7.02M","2.53%"
"04/19/2024","1,599.00","1,579.50","1,600.00","1,564.50","5.15M","0.98%"
"04/18/2024","1,583.50","1,604.50","1,604.50","1,580.00","5.91M","-0.41%"
"04/17/2024","1,590.00","1,589.00","1,620.50","1,576.00","7.39M","-1.27%"
"04/16/2024","1,610.50","1,618.00","1,653.50","1,594.50","8.91M","-2.01%"
"04/15/2024","1,643.50","1,638.50","1,653.50","1,628.50","5.19M","0.00%"
"04/12/2024","1,643.50","1,631.50","1,651.75","1,628.50","6.71M","0.89%"
"04/11/2024","1,629.00","1,618.50","1,642.00","1,609.00","8.32M","0.49%"
"04/10/2024","1,621.00","1,606.00","1,633.50","1,606.00","6.46M","0.31%"
"04/09/2024","1,616.00","1,612.00","1,617.99","1,605.50","7.80M","-0.25%"
"04/08/2024","1,620.00","1,629.00","1,630.00","1,615.50","4.65M","-0.58%"
"04/05/2024","1,629.50","1,609.00","1,647.50","1,593.50","7.46M","-0.49%"
"04/04/2024","1,637.50","1,654.00","1,671.03","1,635.00","11.77M","-1.00%"
"04/03/2024","1,654.00","1,661.50","1,665.00","1,640.00","7.98M","-0.54%"
"04/02/2024","1,663.00","1,653.00","1,708.60","1,651.50","7.11M","-2.67%"
"03/28/2024","1,708.60","1,691.20","1,715.60","1,691.20","9.65M","0.20%"
"03/27/2024","1,705.20","1,700.00","1,706.20","1,681.20","4.76M","0.44%"
"03/26/2024","1,697.80","1,684.40","1,705.40","1,684.40","7.75M","0.19%"
"03/25/2024","1,694.60","1,683.00","1,694.76","1,679.40","6.42M","0.46%"
"03/22/2024","1,686.80","1,678.40","1,694.00","1,678.20","10.42M","0.78%"
"03/21/2024","1,673.80","1,641.80","1,681.40","1,633.80","5.14M","1.64%"
"03/20/2024","1,646.80","1,664.00","1,667.80","1,645.20","5.75M","-1.06%"
"03/19/2024","1,664.40","1,662.00","1,670.80","1,650.80","10.48M","0.22%"
"03/18/2024","1,660.80","1,656.40","1,666.40","1,639.60","9.56M","0.68%"
"03/15/2024","1,649.60","1,687.80","1,698.00","1,646.40","19.02M","-2.26%"
"03/14/2024","1,687.80","1,700.00","1,709.00","1,679.40","5.25M","-0.44%"
"03/13/2024","1,695.20","1,685.40","1,696.20","1,675.00","9.14M","0.59%"
"03/12/2024","1,685.20","1,681.40","1,688.80","1,674.40","4.86M","0.61%"
"03/11/2024","1,675.00","1,683.40","1,687.80","1,661.20","16.45M","0.12%"
"03/08/2024","1,673.00","1,689.20","1,721.60","1,668.80","6.52M","-2.23%"
"03/07/2024","1,711.20","1,699.80","1,719.80","1,691.81","10.17M","2.27%"
"03/06/2024","1,673.20","1,670.40","1,693.60","1,657.60","6.06M","-0.61%"
"03/05/2024","1,683.40","1,678.60","1,687.00","1,657.60","5.08M","0.94%"
